ADM0_NAME,ADM1_NAME,year,month,ndvi,precip_mm,t2m_c,co_col_molm2,viirs_rad
Morocco,Oriental,2018.0,11.0,0.18478996249195567,31.35281091235857,10.74493592892041,0.024390759758970388,0.6394270413308407
Morocco,Chaouia - Ouardigha,2018.0,12.0,0.46472466370251453,12.717705309438015,13.033994513528988,0.026477464751227843,1.1143395790925958
Morocco,Doukkala - Abda,2018.0,12.0,0.4720180320813627,15.089308197011718,14.1724672657488,0.027573388736693703,0.9595405615599811
Morocco,Fès - Boulemane,2018.0,12.0,0.2501791375693376,16.659032051354355,9.181862217539038,0.02391204812859604,0.7121857459643858
Morocco,Gharb - Chrarda - Béni Hssen,2018.0,12.0,0.5231051022704392,17.867283290789363,12.81780400006845,0.028307994327027197,1.1170439424365597
Morocco,Grand Casablanca,2018.0,12.0,0.47704722982897707,10.606272085611431,13.805210415258387,0.02947903943900567,22.913664149579418
Morocco,Guelmim - Es-Semara,2018.0,12.0,0.10987297869142765,17.2849173222256,15.79081327730816,0.025875961213664228,0.220210464758542
Morocco,Laâyoune - Boujdour - Sakia El Hamra,2018.0,12.0,0.09538907277659317,54.90000788039207,17.63851284439352,0.027339117009458618,0.2176482693666367
Morocco,Marrakech - Tensift - Al Haouz,2018.0,12.0,0.3025256398508946,16.41182071857849,12.258430572759991,0.025574423347523308,0.7219109681142182
Morocco,Rabat - Salé - Zemmour - Zaer,2018.0,12.0,0.52095362636277,17.267653604111437,11.99647100199748,0.026819544358957236,1.8902180036351348
Morocco,Souss - Massa - Draâ,2018.0,12.0,0.20278614552227933,23.52505398990721,12.158722675758192,0.023664548199729747,0.39593014365602613
Morocco,Tadla - Azilal,2018.0,12.0,0.38184680130392673,29.862774492633207,8.789919833284854,0.023570524409699648,0.6679258376457875
Morocco,Tanger - Tétouan,2018.0,12.0,0.5598073989616883,18.37220389821334,12.01440817536558,0.026988163215900328,2.0538759065935612
Morocco,Taza - Al Hoceima - Taounate,2018.0,12.0,0.33932638817819094,12.375073064500409,10.855229068974838,0.02549589814977884,0.6563150249465016
